word	level	pinyin	gloss
马马虎虎	IDIOM	mǎ mǎ hū hū	so-so; careless; passable
对不起	IDIOM	duì bu qǐ	sorry; excuse me; to let down
没关系	IDIOM	méi guān xi	it doesn't matter; never mind
没问题	IDIOM	méi wèn tí	no problem
不好意思	IDIOM	bù hǎo yì si	to feel embarrassed; excuse me; sorry
一边一边	IDIOM	yì biān yì biān	(doing one thing) while (doing another)
越来越	IDIOM	yuè lái yuè	more and more
差不多	IDIOM	chà bu duō	almost; nearly; more or less
一点儿	IDIOM	yì diǎnr	a little; a bit
有意思	IDIOM	yǒu yì si	interesting; meaningful
