word	level	pinyin	gloss
# Personal known-words overlay. Same columns as hsk.tsv.
# Words listed here are treated as KNOWN regardless of HSK band, and are
# added to the jieba custom dictionary so segmentation respects them.
# Use level "PERS" for your own vocabulary, or any custom band label.
#
# This is also where the rework loop's "add-and-gloss" escalation appends
# words it was forced to introduce (see SKILL.md). Lines starting with # are
# ignored. Delete these comment lines once you start adding real entries, or
# leave them — the loader skips them.
#
# Example:
# 孙悟空	PERS	Sūn Wùkōng	Sun Wukong (the Monkey King)
# 师父	PERS	shī fu	master; teacher (form of address)
孙悟空	PERS	Sūn Wùkōng	Sun Wukong, the Monkey King
唐僧	PERS	Táng Sēng	Tang Monk (Xuanzang)
师父	PERS	shī fu	master; teacher (respectful address)
徒弟	PERS	tú dì	apprentice; disciple
妖怪	PERS	yāo guài	monster; demon
猴子	PERS	hóu zi	monkey
石头	PERS	shí tou	stone; rock
王	PERS	wáng	king
