word	level	pinyin	gloss
# Generated by build_hsk_list.py from the HSK 3.1 syllabus (2025
# revision, in force 2026) + CC-CEDICT. Do not edit by hand; re-run
# the script instead. See the script docstring for sources/licences.
爱	HSK1	ài	to love; to be fond of; to like; affection
吧	HSK1	bā	bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc)
八	HSK1	bā	eight
爸爸	HSK1	bà ba	(coll.) father; dad; CL:位[wei4]
百	HSK1	bǎi	hundred; numerous
白天	HSK1	bái tiān	daytime; during the day
半	HSK1	bàn	half; semi-
包子	HSK1	bāo zi	baozi; bao (steamed stuffed bun)
杯子	HSK1	bēi zi	cup; glass
本	HSK1	běn	(bound form) root; stem; (bound form) origin; source
边	HSK1	biān	side; edge
病	HSK1	bìng	illness; CL:場|场[chang2]
不	HSK1	bù	no; not so; (bound form) not; un-
不客气	HSK1	bù kè qi	you're welcome; don't mention it
不要	HSK1	bù yào	don't!; must not
菜	HSK1	cài	vegetable; greens (CL:棵[ke1]); dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])
茶	HSK1	chá	tea; tea plant
唱	HSK1	chàng	to sing; to call loudly
超市	HSK1	chāo shì	supermarket (abbr. for 超級市場|超级市场[chao1 ji2 shi4 chang3]); CL:家[jia1]
车	HSK1	chē	car; vehicle
吃	HSK1	chī	to eat; to consume; to eat at (a cafeteria etc)
穿	HSK1	chuān	to wear; to put on
出租车	HSK1	chū zū chē	taxi; (Tw) rental car
大	HSK1	dà	big; large; great; older (than another person)
打电话	HSK1	dǎ diàn huà	to make a telephone call
大家	HSK1	dà jiā	everyone; influential family
到	HSK1	dào	to reach; to arrive; to leave for; to go to
大学	HSK1	dà xué	university; college
大学生	HSK1	dà xué shēng	university student; college student
的	HSK1	de	of; ~'s (possessive particle); (used after an attribute when it modifies a noun)
第	HSK1	dì	(prefix indicating ordinal number, as in 第六[di4 liu4] "sixth"); (literary) grades in which successful candi...
店	HSK1	diàn	inn; old-style hotel (CL:家[jia1]); (bound form) shop; store
点	HSK1	diǎn	to touch briefly; to tap; to mark with a dot; to check off (on a list)
电话	HSK1	diàn huà	telephone; CL:部[bu4]
电脑	HSK1	diàn nǎo	computer; CL:臺|台[tai2]
电视	HSK1	diàn shì	television; TV; CL:臺|台[tai2],部[bu4]
电影	HSK1	diàn yǐng	movie; film; CL:部[bu4],片[pian4],場|场[chang3]
电影院	HSK1	diàn yǐng yuàn	cinema; movie theater; CL:家[jia1],座[zuo4]
弟弟	HSK1	dì di	younger brother; CL:個|个[ge4],位[wei4]
东西	HSK1	dōng xi	thing; stuff
都	HSK1	dōu	all; both; entirely; (used for emphasis) even
读	HSK1	dú	to read out; to read aloud; to read
对	HSK1	duì	right; correct; towards; at; for
对不起	HSK1	duì bu qǐ	I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
多	HSK1	duō	many; much; more; a lot of; too many; in excess
多少	HSK1	duō shǎo	number; amount; somewhat
读书	HSK1	dú shū	to read a book; to study
二	HSK1	èr	two; 2
儿子	HSK1	ér zi	son
饭	HSK1	fàn	cooked rice; CL:碗[wan3]
饭店	HSK1	fàn diàn	restaurant; hotel
房间	HSK1	fáng jiān	room; CL:間|间[jian1]
非常	HSK1	fēi cháng	very; really; unusual; extraordinary
飞机	HSK1	fēi jī	airplane; CL:架[jia4]
分	HSK1	fēn	to divide; to separate; to distribute; to allocate
分钟	HSK1	fēn zhōng	minute
高兴	HSK1	gāo xìng	happy; glad
个	HSK1	gè	(classifier used before a noun that has no specific classifier); (bound form) individual
歌	HSK1	gē	song (CL:首[shou3],支[zhi1]); (bound form) to sing
哥哥	HSK1	gē ge	older brother; CL:個|个[ge4],位[wei4]
给	HSK1	gěi	to; for
公司	HSK1	gōng sī	company; firm; corporation; CL:家[jia1]
工作	HSK1	gōng zuò	to work; (of a machine) to operate
狗	HSK1	gǒu	dog; CL:隻|只[zhi1],條|条[tiao2]
贵	HSK1	guì	expensive; (bound form) highly valued; precious
国	HSK1	guó	country; nation; state; (bound form) national
还	HSK1	hái	still; still in progress
孩子	HSK1	hái zi	child
汉语	HSK1	Hàn yǔ	Chinese language
汉字	HSK1	hàn zì	Chinese character(s)
号	HSK1	hào	(literary) to call out; to command; (bound form) bugle; trumpet
好	HSK1	hǎo	good; appropriate; proper
好吃	HSK1	hǎo chī	tasty; delicious
好看	HSK1	hǎo kàn	good-looking; nice-looking; (of a movie, book, TV show etc) good
好听	HSK1	hǎo tīng	pleasant to hear
好玩儿	HSK1	hǎo wán r	erhua variant of 好玩[hao3 wan2]
和	HSK1	hé	(joining two nouns) and; together with; with (Taiwan pr. [han4]); (math.) sum
喝	HSK1	hē	to drink; variant of 嗬[he1]
很	HSK1	hěn	very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless...
后	HSK1	hòu	back; behind
回	HSK1	huí	to go back; to return; to turn back; to turn around; to reply; to answer
会	HSK1	huì	can; to have the skill; to know how to; to be likely to; to be sure to
火车	HSK1	huǒ chē	train; CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]
几	HSK1	jǐ	how much; how many
家	HSK1	jiā	home; family
见	HSK1	jiàn	to see; to meet
件	HSK1	jiàn	item; component
叫	HSK1	jiào	to shout; to call
饺子	HSK1	jiǎo zi	dumpling; pot-sticker
家人	HSK1	jiā rén	family member; (old) servant
鸡蛋	HSK1	jī dàn	(chicken) egg; hen's egg
姐姐	HSK1	jiě jie	older sister; CL:個|个[ge4]
今年	HSK1	jīn nián	this year
今天	HSK1	jīn tiān	today; the present time; now
九	HSK1	jiǔ	nine; 9
觉得	HSK1	jué de	to think that ...; to feel that ...; to feel (uncomfortable etc)
