word	pinyin	gloss
杰克	Jiékè	Jack (name)
阿龙	Ā Lóng	Along — Algernon (name)
诚	Chéng	Cheng — a name; the character also means "honest, sincere"
西西	Xīxī	Xixi — Cecily (name)
高文	Gāo Wén	Gao Wen — Gwendolen (name)
高太太	Gāo tàitai	Mrs. Gao — Gwendolen's mother (name)
乡下	xiāngxia	the countryside; one's rural home
秘密	mìmì	a secret
懒	lǎn	lazy
剩下	shèngxia	to be left over; remain
姨妈	yímā	aunt (mother's sister)
表妹	biǎomèi	younger female cousin
到底	dàodǐ	after all; on earth (in questions)
窗外	chuāngwài	outside the window
